iter	RMSE
0	1.067481091
1	0.969416618
2	0.8716960315
3	0.8165830108
4	0.7810808057
5	0.7363406341
6	0.6984400109
7	0.6673446461
8	0.6366734103
9	0.6235900567
10	0.609155115
11	0.5892988552
12	0.5705136354
13	0.5462060302
14	0.5321308573
15	0.5208075701
16	0.5143029094
17	0.50409688
18	0.4845833873
19	0.4778440824
20	0.469966359
21	0.4564077472
22	0.4477467794
23	0.4416865272
24	0.4395133831
25	0.4358281785
26	0.4250574945
27	0.4195388013
28	0.41418388
29	0.4131727075
30	0.4118061603
31	0.4052845697
32	0.3967716082
33	0.3933221453
34	0.3900209348
35	0.3885823606
36	0.3818704876
37	0.3787743025
38	0.3760877613
39	0.3710698302
40	0.3661467046
41	0.362091211
42	0.3601335066
43	0.3535281463
44	0.3507514017
45	0.3485774773
46	0.3466565552
47	0.34288389
48	0.338345696
49	0.3342489187
50	0.3260570348
51	0.3247774618
52	0.3219278602
53	0.3200527744
54	0.3171378982
55	0.3141121625
56	0.3105224348
57	0.3094054814
58	0.3074005585
59	0.3032848423
60	0.3007991716
61	0.298351927
62	0.2946784929
63	0.2922405445
64	0.2899333464
65	0.2888705042
66	0.2877480991
67	0.2864812548
68	0.2845393072
69	0.2828538769
70	0.2814823729
71	0.2765663384
72	0.2738102636
73	0.2731014759
74	0.2704582589
75	0.2694536318
76	0.2680635871
77	0.2661086444
78	0.2652993935
79	0.2642812946
80	0.2626286067
81	0.2612952867
82	0.2588255197
83	0.2569589481
84	0.2550179237
85	0.2540040286
86	0.2519816476
87	0.2510155591
88	0.249179962
89	0.2463369589
90	0.2449335668
91	0.2434272561
92	0.2420028567
93	0.2402518525
94	0.2398646424
95	0.2393782432
96	0.2378952919
97	0.2360804231
98	0.2341515249
99	0.2327362129
100	0.230936688
101	0.229282928
102	0.2286264005
103	0.2273907651
104	0.226460482
105	0.2237643558
106	0.2222924642
107	0.2216541037
108	0.2205074482
109	0.2191539028
110	0.2169005337
111	0.2155684001
112	0.2147082531
113	0.2138095206
114	0.2130298754
115	0.2120387649
116	0.2108162164
117	0.2102009634
118	0.2089021398
119	0.2083699541
120	0.2070070251
121	0.2057363319
122	0.2040773519
123	0.2035614909
124	0.2026601297
125	0.2010805505
126	0.2004558259
127	0.1993274256
128	0.1983578672
129	0.1969220349
130	0.1958402944
131	0.1948840884
132	0.1933396425
133	0.1926683086
134	0.1922453667
135	0.191676447
136	0.191086425
137	0.1907827331
138	0.1896562856
139	0.1888635779
140	0.1882830944
141	0.1867484043
142	0.1860537127
143	0.1852274311
144	0.1839421132
145	0.1828830408
146	0.1825261983
147	0.1817136249
148	0.1806771429
149	0.1800940595
150	0.1791561645
151	0.1781422794
152	0.1774811189
153	0.1769642346
154	0.1761166723
155	0.1757308587
156	0.1751398947
157	0.1745996343
158	0.1739466765
159	0.1730257707
